snapshot_ts_utc,snapshot_date,asset,expiration,tier,schwab_symbol,strike,pm_yes,pm_n_ticks,pm_asof,opt_prob,spot,diff,liquid,pm_bid,pm_ask,pm_spread,pm_one_sided,liquid_basis
2026-07-09T18:33:27+00:00,2026-07-09,MSFT,2026-07-31,exact,MSFT,420.0,0.19,7,2026-07-09T18:37:46+00:00,0.1653665890986254,380.98,0.0246334109013745,False,0.07,0.31,0.24,0.0,book
2026-07-09T18:33:27+00:00,2026-07-09,MSFT,2026-07-31,exact,MSFT,435.0,0.48,7,2026-07-09T18:37:46+00:00,0.1042310622197396,380.98,0.3757689377802604,False,0.06,0.9,0.84,0.0,book
2026-07-09T18:33:27+00:00,2026-07-09,MSFT,2026-07-31,exact,MSFT,450.0,0.05,6,2026-07-09T18:37:46+00:00,0.0631399703831115,380.98,-0.0131399703831115,True,0.02,0.08,0.06,0.0,book
2026-07-09T18:33:27+00:00,2026-07-09,MU,2026-07-10,exact,MU,920.0,0.725,6,2026-07-09T18:37:49+00:00,0.9299929382739612,1018.13,-0.2049929382739611,False,0.47,0.98,0.51,0.0,book
2026-07-09T18:33:27+00:00,2026-07-09,MU,2026-07-10,exact,MU,930.0,0.8,8,2026-07-09T18:37:49+00:00,0.9069906179925484,1018.13,-0.1069906179925483,False,0.63,0.97,0.34,0.0,book
2026-07-09T18:33:27+00:00,2026-07-09,MU,2026-07-10,exact,MU,940.0,0.725,7,2026-07-09T18:37:49+00:00,0.8599858765479221,1018.13,-0.1349858765479221,False,0.49,0.96,0.47,0.0,book
2026-07-09T18:33:27+00:00,2026-07-09,MU,2026-07-10,exact,MU,950.0,0.69,7,2026-07-09T18:37:49+00:00,0.8519850694935178,1018.13,-0.1619850694935178,False,0.43,0.95,0.52,0.0,book
2026-07-09T18:33:27+00:00,2026-07-09,MU,2026-07-10,exact,MU,960.0,0.67,7,2026-07-09T18:37:49+00:00,0.8179816395122989,1018.13,-0.1479816395122988,False,0.4,0.94,0.54,0.0,book
2026-07-09T18:33:27+00:00,2026-07-09,MU,2026-07-10,exact,MU,970.0,0.775,10,2026-07-09T18:37:49+00:00,0.7689766963040717,1018.13,0.0060233036959282,True,0.73,0.82,0.09,0.0,book
2026-07-09T18:33:27+00:00,2026-07-09,MU,2026-07-10,exact,MU,980.0,0.6,7,2026-07-09T18:37:49+00:00,0.7299727619138501,1018.13,-0.1299727619138501,False,0.29,0.91,0.62,0.0,book
2026-07-09T18:33:27+00:00,2026-07-09,MU,2026-07-10,exact,MU,990.0,0.6,7,2026-07-09T18:37:49+00:00,0.6699667090058168,1018.13,-0.0699667090058168,False,0.29,0.91,0.62,0.0,book
2026-07-09T18:33:27+00:00,2026-07-09,MU,2026-07-10,exact,MU,1000.0,0.575,9,2026-07-09T18:37:49+00:00,0.6246288023641919,1018.13,-0.0496288023641919,False,0.29,0.86,0.57,0.0,book
2026-07-09T18:33:27+00:00,2026-07-09,MU,2026-07-10,exact,MU,1010.0,0.495,9,2026-07-09T18:37:49+00:00,0.5399535943717445,1018.13,-0.0449535943717445,False,0.17,0.82,0.65,0.0,book
2026-07-09T18:33:27+00:00,2026-07-09,MU,2026-07-10,exact,MU,1020.0,0.47,7,2026-07-09T18:37:49+00:00,0.5099505679177285,1018.13,-0.0399505679177285,False,0.13,0.81,0.68,0.0,book
2026-07-09T18:33:27+00:00,2026-07-09,MU,2026-07-10,exact,MU,1030.0,0.43,7,2026-07-09T18:37:49+00:00,0.4540458003374528,1018.13,-0.0240458003374527,False,0.09,0.77,0.68,0.0,book
2026-07-09T18:33:27+00:00,2026-07-09,MU,2026-07-10,exact,MU,1040.0,0.545,5,2026-07-09T18:37:49+00:00,0.3800383350842105,1018.13,0.1649616649157895,False,0.11,0.98,0.87,0.0,book
2026-07-09T18:33:27+00:00,2026-07-09,MU,2026-07-31,exact,MU,1100.0,0.625,6,2026-07-09T18:37:51+00:00,0.2796198688394928,1018.13,0.3453801311605071,False,0.3,0.95,0.65,0.0,book
2026-07-09T18:33:27+00:00,2026-07-09,MU,2026-07-31,exact,MU,1120.0,0.555,7,2026-07-09T18:37:51+00:00,0.2796198688394928,1018.13,0.2753801311605072,False,0.15,0.96,0.81,0.0,book
2026-07-09T18:33:27+00:00,2026-07-09,MU,2026-07-31,exact,MU,1140.0,0.13,3,2026-07-09T18:37:51+00:00,0.2254998942253979,1018.13,-0.0954998942253979,False,0.13,,,1.0,book
2026-07-09T18:33:27+00:00,2026-07-09,MU,2026-07-31,exact,MU,1160.0,0.535,6,2026-07-09T18:37:51+00:00,0.2254998942253979,1018.13,0.3095001057746021,False,0.11,0.96,0.85,0.0,book
2026-07-09T18:33:27+00:00,2026-07-09,MU,2026-07-31,exact,MU,1180.0,0.555,5,2026-07-09T18:37:51+00:00,0.2154776767042697,1018.13,0.3395223232957303,False,0.12,0.99,0.87,0.0,book
2026-07-09T18:33:27+00:00,2026-07-09,MU,2026-07-31,exact,MU,1200.0,0.09,4,2026-07-09T18:37:51+00:00,0.2154776767042697,1018.13,-0.1254776767042697,False,0.09,,,1.0,book
2026-07-09T18:33:27+00:00,2026-07-09,MU,2026-07-31,exact,MU,1220.0,0.53,6,2026-07-09T18:37:51+00:00,0.1814021371324319,1018.13,0.348597862867568,False,0.11,0.95,0.84,0.0,book
2026-07-09T18:33:27+00:00,2026-07-09,MU,2026-07-31,exact,MU,1240.0,0.545,5,2026-07-09T18:37:51+00:00,0.162861034718343,1018.13,0.382138965281657,False,0.1,0.99,0.89,0.0,book
2026-07-09T18:33:27+00:00,2026-07-09,MU,2026-07-31,exact,MU,1260.0,0.52,5,2026-07-09T18:37:51+00:00,0.162861034718343,1018.13,0.357138965281657,False,0.09,0.95,0.86,0.0,book
2026-07-09T18:33:27+00:00,2026-07-09,MU,2026-07-31,exact,MU,1280.0,0.525,6,2026-07-09T18:37:51+00:00,0.1277832733943925,1018.13,0.3972167266056075,False,0.08,0.97,0.89,0.0,book
2026-07-09T18:33:27+00:00,2026-07-09,MU,2026-07-31,exact,MU,1300.0,0.53,5,2026-07-09T18:37:51+00:00,0.1277832733943925,1018.13,0.4022167266056075,False,0.07,0.99,0.92,0.0,book
2026-07-09T18:33:27+00:00,2026-07-09,MU,2026-07-31,exact,MU,1320.0,0.495,8,2026-07-09T18:37:51+00:00,0.1042310622197395,1018.13,0.3907689377802605,False,0.06,0.93,0.87,0.0,book
2026-07-09T18:33:27+00:00,2026-07-09,MU,2026-07-31,exact,MU,1340.0,0.15,6,2026-07-09T18:37:51+00:00,0.1042310622197395,1018.13,0.0457689377802604,False,0.04,0.26,0.22,0.0,book
2026-07-09T18:33:27+00:00,2026-07-09,NFLX,2026-07-10,exact,NFLX,40.0,0.991,31,2026-07-09T18:37:53+00:00,1.0,74.78,-0.009,False,0.991,,,1.0,book
